FixationDuration,SaccadeSpeed,BlinkRate,Number of Fixations,Fixation Duration,Average Fixation Duration,Number of Saccades,Saccade Amplitude,Average Saccade Amplitude,"Average Pupil Size (Left, mm)","Average Pupil Size (Right, mm)"
0.0,689.8683341686897,0.0,0.0,0.0,0.0,5.0,114.97805569478163,22.995611138956328,18.005355633988394,18.937363396010635
0.0,316.609424224894,0.0,0.0,0.0,0.0,1.0,10.553647474163133,10.553647474163133,19.237209139223232,19.299992869107854
0.0,428.2298747681691,0.0,0.0,0.0,0.0,6.0,85.64597495363381,14.274329158938968,18.135906120920225,18.49896972204712
0.0,353.83839121358153,0.0,0.0,0.0,0.0,10.0,117.94613040452718,11.794613040452719,18.727231028021887,19.107067905306693
0.0,219.8164998588042,0.0,0.0,0.0,0.0,7.0,51.290516633720976,7.327216661960139,19.196940457303,19.391330326514968
0.0,222.0086544345204,0.0,0.0,0.0,0.0,11.0,81.40317329265748,7.400288481150681,19.069634648658052,19.591197356598467
0.0,859.16204603776,0.0,0.0,0.0,0.0,7.0,200.4711440754773,28.63873486792533,18.22557192307876,19.663992239976547
0.0,364.6219216627585,0.0,0.0,0.0,0.0,6.0,72.9243843325517,12.154064055425282,18.58576773530896,19.231197866373964
0.0,200.8159731724466,0.0,0.0,0.0,0.0,2.0,13.387731544829773,6.6938657724148865,18.997593703863117,19.46634330215974
0.0,290.40136007726284,0.0,0.0,0.0,0.0,4.0,38.72018134363505,9.680045335908762,18.752842399756844,20.177052755056746
0.0,483.7228275287529,0.0,0.0,0.0,0.0,5.0,80.62047125479216,16.124094250958432,15.131579255379846,15.95318334162039
0.0,855.8440500076528,0.0,0.0,0.0,0.0,7.0,199.69694500178562,28.528135000255087,17.916828164394616,19.109244322515796
0.0,1312.7163234231223,0.0,0.0,0.0,0.0,14.0,612.6009509307901,43.75721078077072,17.4927888235009,18.855836009214084
0.0,614.7216286492136,0.0,0.0,0.0,0.0,2.0,40.98144190994757,20.490720954973785,18.646197875598062,20.013606248495133
0.0,92.29184622321021,0.0,0.0,0.0,0.0,1.0,3.0763948741070073,3.0763948741070073,20.596992199972547,20.53813939503346
0.0,411.4785313642169,0.0,0.0,0.0,0.0,4.0,54.86380418189559,13.715951045473897,18.60651544482291,19.408227872498138
0.0,303.9357272194382,0.0,0.0,0.0,0.0,1.0,10.131190907314608,10.131190907314608,18.58499660536655,19.085787887012245
0.0,90.88059630555163,0.0,0.0,0.0,0.0,1.0,3.029353210185054,3.029353210185054,20.268397175331927,20.394829257183876
0.0,752.9538951384678,0.0,0.0,0.0,0.0,3.0,75.29538951384677,25.09846317128226,18.553752174940186,19.983523955606458
0.0,423.54850861343226,0.0,0.0,0.0,0.0,3.0,42.35485086134322,14.118283620447741,16.6526789423433,17.79009966848239
0.0,119.71349735299545,0.0,0.0,0.0,0.0,6.0,23.942699470599084,3.990449911766514,16.92256359914837,16.934835037808565
0.0,305.2742581011941,0.0,0.0,0.0,0.0,1.0,10.175808603373136,10.175808603373136,17.782751872398876,16.96779787006419
0.0,395.2424549524978,0.0,0.0,0.0,0.0,2.0,26.349496996833185,13.174748498416593,17.324554490937203,17.369149453839693
